"PVWatts Hourly PV Performance Data"
"Requested Location","94568, USA"
"Location","Lat, Lng: 37.69, -121.9"
"Latitude (DD)","37.69"
"Longitude (DD)","-121.90"
"Elevation (m)","100.84999847412"
"DC System Size (kW)","34.5"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"10","12","7","0","30","13","1.8","0.13","27.727","13.704","773.937","609.771"
"10","12","8","58","166","14","2.1","0.13","197.89","18.731","5872.731","5527.893"
"10","12","9","21","205","16","2.4","0.13","212.195","20.772","6181.969","5826.175"
"10","12","10","123","303","18","2.7","0.13","422.285","26.986","12191.231","11622.505"
"10","12","11","0","157","19","2.9","0.13","147.898","22.031","4182.206","3897.271"
"10","12","12","0","113","19","3.1","0.13","105.368","21.088","2953.834","2712.425"
"10","12","13","58","274","19","3.2","0.13","324.851","25.347","9371.14","8902.341"
"10","12","14","22","197","18","3.1","0.13","204.584","22.07","5935.109","5588.062"
"10","12","15","259","147","17","2.8","0.13","290.62","23.116","8657.598","8214.082"
"10","12","16","419","63","16","2.2","0.13","197.672","20.539","5401.309","5073.176"
"10","12","17","0","0","14","1.3","0.13","0","0","0","0"
"10","12","18","0","0","13","0.9","0.13","0","13","0","0"
"10","12","19","0","0","12","0.9","0.13","0","12","0","0"
"10","12","20","0","0","11","0.9","0.13","0","11","0","0"
"10","12","21","0","0","11","0.9","0.13","0","11","0","0"
"10","12","22","0","0","11","0.9","0.13","0","11","0","0"
"10","12","23","0","0","10","0.9","0.13","0","10","0","0"
"10","13","0","0","0","10","1","0.13","0","10","0","0"
"10","13","1","0","0","10","0.9","0.13","0","10","0","0"
"10","13","2","0","0","10","0.8","0.13","0","10","0","0"
"10","13","3","0","0","10","0.8","0.13","0","10","0","0"
"10","13","4","0","0","10","0.8","0.13","0","10","0","0"
"10","13","5","0","0","10","0.8","0.13","0","10","0","0"
"10","13","6","131","15","11","1","0.13","28.132","11.627","386.025","235.604"
"10","13","7","559","57","13","1.4","0.13","260.364","20.136","7390.289","6991.678"
"10","13","8","737","76","16","1.8","0.13","498.45","28.73","14803.19","14141.911"
"10","13","9","823","87","18","2","0.13","699.537","35.101","20127.946","19277.99"
"10","13","10","891","83","21","2.3","0.13","844.346","40.428","23623.645","22649.823"
"10","13","11","909","84","23","2.8","0.13","912.408","42.151","25253.677","24222.096"
"10","13","12","908","83","24","3.2","0.13","904.076","41.742","25077.267","24051.937"
"10","13","13","889","79","25","3.2","0.13","820.056","41.11","22915.694","21966.957"
"10","13","14","838","74","25","3.1","0.13","664.419","38.294","18923.874","18116.583"
"10","13","15","748","62","24","3.1","0.13","457.203","33.167","13346.415","12736.755"
"10","13","16","551","44","21","2.4","0.13","216.033","25.751","5701.892","5363.108"
"10","13","17","0","0","18","1.6","0.13","0","0","0","0"
