DateTime,Temperature_C
2025-07-01 21:35:00,-28.874736328125003
2025-07-01 21:40:00,-27.802226562500003
2025-07-01 21:45:00,-26.695396484375
2025-07-01 21:50:00,-25.614306640625
2025-07-01 21:55:00,-24.584697265625003
2025-07-01 22:00:00,-21.169826171875002
2025-07-01 22:05:00,-19.616832031250002
2025-07-01 22:10:00,-22.800041015625002
2025-07-01 22:15:00,-25.89744921875
2025-07-01 22:20:00,-28.445732421875
2025-07-01 22:25:00,-30.444890625000006
2025-07-01 22:30:00,-31.954984375000002
2025-07-01 22:35:00,-33.061814453125
2025-07-01 22:40:00,-33.96272265625
2025-07-01 22:45:00,-34.6662890625
2025-07-01 22:50:00,-35.249734375
2025-07-01 22:55:00,-35.6958984375
2025-07-01 23:00:00,-36.1077421875
2025-07-01 23:05:00,-36.36514453125
2025-07-01 23:10:00,-35.0781328125
2025-07-01 23:15:00,-34.623388671875
2025-07-01 23:20:00,-35.524296875000005
2025-07-01 23:25:00,-36.150642578125
2025-07-01 23:30:00,-35.4213359375
2025-07-01 23:35:00,-34.51184765625
2025-07-01 23:40:00,-35.378435546875
2025-07-01 23:45:00,-36.064841796875
2025-07-01 23:50:00,-35.02665234375
2025-07-01 23:55:00,-34.666289062500006
2025-07-02 00:00:00,-35.661578125
2025-07-02 00:05:00,-35.515716796875
2025-07-02 00:10:00,-34.460367187500005
2025-07-02 00:15:00,-35.26689453125
2025-07-02 00:20:00,-35.876080078125
2025-07-02 00:25:00,-34.692029296875
2025-07-02 00:30:00,-34.92369140625
2025-07-02 00:35:00,-35.8331796875
2025-07-02 00:40:00,-35.018072265625
2025-07-02 00:45:00,-34.709189453125
2025-07-02 00:50:00,-35.704478515625
2025-07-02 00:55:00,-35.438496093750004
2025-07-02 01:00:00,-34.589068359375005
2025-07-02 01:05:00,-35.472816406250004
2025-07-02 01:10:00,-35.824599609375
2025-07-02 01:15:00,-34.68344921875
2025-07-02 01:20:00,-35.223994140625
2025-07-02 01:25:00,-35.91898046875
2025-07-02 01:30:00,-34.82073046875
2025-07-02 01:35:00,-35.0094921875
2025-07-02 01:40:00,-35.88466015625
2025-07-02 01:45:00,-34.95801171875
2025-07-02 01:50:00,-34.837890625
2025-07-02 01:55:00,-35.8331796875
2025-07-02 02:00:00,-35.45565625
2025-07-02 02:05:00,-34.726349609375
2025-07-02 02:10:00,-35.644417968750005
2025-07-02 02:15:00,-35.584357421875
2025-07-02 02:20:00,-34.700609375
2025-07-02 02:25:00,-35.567197265625
2025-07-02 02:30:00,-35.567197265625
